Code,Day,DayName,Redeemed,UserID,Timestamp,CSAgent,Notes
YKG9725,2,Tuesday,No,,,,
ETC5092,2,Tuesday,No,,,,
XHB2424,2,Tuesday,No,,,,
BCM5261,2,Tuesday,No,,,,
ADB7020,2,Tuesday,No,,,,
ETE0216,2,Tuesday,No,,,,
QNX2526,2,Tuesday,No,,,,
FKP1218,2,Tuesday,No,,,,
SZA7327,2,Tuesday,No,,,,
LZL2724,2,Tuesday,No,,,,
GRX3022,2,Tuesday,No,,,,
MAK6332,2,Tuesday,No,,,,
EIT7525,2,Tuesday,No,,,,
DUA9426,2,Tuesday,No,,,,
VDK5262,2,Tuesday,No,,,,
XRM7924,2,Tuesday,No,,,,
SJA0023,2,Tuesday,No,,,,
HCK2144,2,Tuesday,No,,,,
BFS2129,2,Tuesday,No,,,,
DAD3299,3,Wednesday,No,,,,
MZW9373,3,Wednesday,No,,,,
HWA9399,3,Wednesday,No,,,,
ITM9378,3,Wednesday,No,,,,
LHP7302,3,Wednesday,No,,,,
ZKO0436,3,Wednesday,No,,,,
LSV3066,3,Wednesday,No,,,,
SAI3150,3,Wednesday,No,,,,
ZKZ6303,3,Wednesday,No,,,,
DGG4377,3,Wednesday,No,,,,
TPW9336,3,Wednesday,No,,,,
YQU4033,3,Wednesday,No,,,,
MUO3802,3,Wednesday,No,,,,
BXW3285,3,Wednesday,No,,,,
ONM4834,3,Wednesday,No,,,,
JJJ4312,3,Wednesday,No,,,,
WUM2135,3,Wednesday,No,,,,
FMW9443,3,Wednesday,No,,,,
BPN3745,3,Wednesday,No,,,,
OTS3939,3,Wednesday,No,,,,
TTV0033,3,Wednesday,No,,,,
RWJ3953,3,Wednesday,No,,,,
HGR0335,3,Wednesday,No,,,,
MPQ7383,3,Wednesday,No,,,,
CFV7357,3,Wednesday,No,,,,
CKX3112,3,Wednesday,No,,,,
NTQ8693,3,Wednesday,No,,,,
NOL9327,3,Wednesday,No,,,,
YPX3575,3,Wednesday,No,,,,
TSN3669,3,Wednesday,No,,,,
UIQ3085,3,Wednesday,No,,,,
IME6358,3,Wednesday,No,,,,
CPR0839,3,Wednesday,No,,,,
UDS3447,3,Wednesday,No,,,,
BFY6623,3,Wednesday,No,,,,
OTL5433,3,Wednesday,No,,,,
CTN0143,3,Wednesday,No,,,,
XTP6035,3,Wednesday,No,,,,
AIJ3666,3,Wednesday,No,,,,
DOL6853,3,Wednesday,No,,,,
RLA3502,3,Wednesday,No,,,,
PGQ3483,3,Wednesday,No,,,,
KKA3038,3,Wednesday,No,,,,
ZWT5391,3,Wednesday,No,,,,
MZF3340,3,Wednesday,No,,,,
DGB0393,3,Wednesday,No,,,,
UCG8362,3,Wednesday,No,,,,
PNO0739,3,Wednesday,No,,,,
QNK3334,3,Wednesday,No,,,,
FNX2379,3,Wednesday,No,,,,
WSU2113,3,Wednesday,No,,,,
MTY8306,3,Wednesday,No,,,,
BTF9320,3,Wednesday,No,,,,
DGM4433,3,Wednesday,No,,,,
MJD3329,3,Wednesday,No,,,,
YIQ6383,3,Wednesday,No,,,,
CWE4431,3,Wednesday,No,,,,
OXG3394,3,Wednesday,No,,,,
ZMT9311,3,Wednesday,No,,,,
XTL3353,3,Wednesday,No,,,,
EDE8348,3,Wednesday,No,,,,
EXW3338,3,Wednesday,No,,,,
VDO1713,3,Wednesday,No,,,,
FND3039,3,Wednesday,No,,,,
ZAG3030,3,Wednesday,No,,,,
QHO4328,3,Wednesday,No,,,,
XIF3594,3,Wednesday,No,,,,
SBU0034,3,Wednesday,No,,,,
HWC5835,3,Wednesday,No,,,,
ZOU0319,3,Wednesday,No,,,,
DZR3100,3,Wednesday,No,,,,
QXU4439,3,Wednesday,No,,,,
TOG4379,3,Wednesday,No,,,,
CIR7037,3,Wednesday,No,,,,
KRR7831,3,Wednesday,No,,,,
RDH1305,3,Wednesday,No,,,,
HKP3842,3,Wednesday,No,,,,
FZJ3593,3,Wednesday,No,,,,
QPD3321,3,Wednesday,No,,,,
RTK3217,3,Wednesday,No,,,,
MLD9353,3,Wednesday,No,,,,
ZZW4363,3,Wednesday,No,,,,
SWZ3746,3,Wednesday,No,,,,
ZKX1301,3,Wednesday,No,,,,
BNJ8397,3,Wednesday,No,,,,
QOK3179,3,Wednesday,No,,,,
ZGL7693,3,Wednesday,No,,,,
ZBS3868,3,Wednesday,No,,,,
LDT3147,3,Wednesday,No,,,,
HVM4993,3,Wednesday,No,,,,
GGO3636,3,Wednesday,No,,,,
LBI1369,3,Wednesday,No,,,,
YZZ2832,3,Wednesday,No,,,,
ZFP2327,3,Wednesday,No,,,,
BUW3628,3,Wednesday,No,,,,
AFK3541,3,Wednesday,No,,,,
AZK6138,3,Wednesday,No,,,,
IHW4370,3,Wednesday,No,,,,
RWX3052,3,Wednesday,No,,,,
ATX3445,3,Wednesday,No,,,,
MTP4524,4,Thursday,No,,,,
MQK0496,4,Thursday,No,,,,
IZC0944,4,Thursday,No,,,,
NGE4004,4,Thursday,No,,,,
IGB4084,4,Thursday,No,,,,
CXI8946,4,Thursday,No,,,,
HVX9943,4,Thursday,No,,,,
CRJ9426,4,Thursday,No,,,,
BBI4986,4,Thursday,No,,,,
GDJ8194,4,Thursday,No,,,,
SLI7845,4,Thursday,No,,,,
AKT3481,4,Thursday,No,,,,
TDJ1448,4,Thursday,No,,,,
MVM2448,4,Thursday,No,,,,
LVU3945,4,Thursday,No,,,,
WHV2454,4,Thursday,No,,,,
CBM4587,4,Thursday,No,,,,
DMS5784,4,Thursday,No,,,,
KFV4506,4,Thursday,No,,,,
KVD4503,4,Thursday,No,,,,
NIL4288,4,Thursday,No,,,,
USG4254,4,Thursday,No,,,,
LFT6049,4,Thursday,No,,,,
TBU4096,4,Thursday,No,,,,
RZD3874,4,Thursday,No,,,,
UXR4021,4,Thursday,No,,,,
UEI4697,4,Thursday,No,,,,
IBL5534,4,Thursday,No,,,,
GGH4919,4,Thursday,No,,,,
OSE7644,4,Thursday,No,,,,
RMW2142,4,Thursday,No,,,,
NVU4064,4,Thursday,No,,,,
GVP1456,4,Thursday,No,,,,
JOC9426,4,Thursday,No,,,,
PWK4702,4,Thursday,No,,,,
ZHV4305,4,Thursday,No,,,,
QUZ7954,4,Thursday,No,,,,
PSF6841,4,Thursday,No,,,,
NNM0254,4,Thursday,No,,,,
FGB6646,4,Thursday,No,,,,
DMG4556,4,Thursday,No,,,,
OCT3443,4,Thursday,No,,,,
RFD9422,4,Thursday,No,,,,
VLQ4522,4,Thursday,No,,,,
JEZ5374,4,Thursday,No,,,,
ENO4189,4,Thursday,No,,,,
HYG4830,4,Thursday,No,,,,
KUT7114,4,Thursday,No,,,,
MFI4054,4,Thursday,No,,,,
DAD3949,4,Thursday,No,,,,
UNX6455,4,Thursday,No,,,,
WDE1409,4,Thursday,No,,,,
KZO6477,4,Thursday,No,,,,
NZM6493,4,Thursday,No,,,,
VOW9014,4,Thursday,No,,,,
NGQ2014,4,Thursday,No,,,,
NOA0142,4,Thursday,No,,,,
ULD3264,4,Thursday,No,,,,
RGR3439,4,Thursday,No,,,,
LGN0745,4,Thursday,No,,,,
SUE5446,4,Thursday,No,,,,
MSM6324,4,Thursday,No,,,,
MGY6544,4,Thursday,No,,,,
IZO1624,4,Thursday,No,,,,
WJZ8848,4,Thursday,No,,,,
VKD8640,4,Thursday,No,,,,
ZIP0046,4,Thursday,No,,,,
POB4101,4,Thursday,No,,,,
TIP4866,4,Thursday,No,,,,
MUI6954,4,Thursday,No,,,,
SIX0462,4,Thursday,No,,,,
YPK4016,4,Thursday,No,,,,
VKV4550,4,Thursday,No,,,,
MBU8814,4,Thursday,No,,,,
GXB0435,4,Thursday,No,,,,
PKQ0542,4,Thursday,No,,,,
RUA4609,4,Thursday,No,,,,
NVN0485,4,Thursday,No,,,,
FIZ9704,4,Thursday,No,,,,
MHJ2542,4,Thursday,No,,,,
IWM5345,4,Thursday,No,,,,
WZY4484,4,Thursday,No,,,,
OFP1413,4,Thursday,No,,,,
HEN4994,4,Thursday,No,,,,
USR3424,4,Thursday,No,,,,
NWY0345,4,Thursday,No,,,,
YBL2414,4,Thursday,No,,,,
TWD5747,4,Thursday,No,,,,
PLF9048,4,Thursday,No,,,,
LGJ4435,4,Thursday,No,,,,
CYH4159,4,Thursday,No,,,,
HNV4738,4,Thursday,No,,,,
KIW1426,4,Thursday,No,,,,
JSQ8444,4,Thursday,No,,,,
VUW3432,4,Thursday,No,,,,
YGN4383,4,Thursday,No,,,,
DTN3423,4,Thursday,No,,,,
BTW8874,4,Thursday,No,,,,
MDT4256,4,Thursday,No,,,,
ZHS0394,4,Thursday,No,,,,
FFJ8725,5,Friday,No,,,,
YTX5136,5,Friday,No,,,,
WTK4705,5,Friday,No,,,,
ELG9065,5,Friday,No,,,,
EBM3519,5,Friday,No,,,,
LUG9555,5,Friday,No,,,,
PDB2757,5,Friday,No,,,,
FSN0543,5,Friday,No,,,,
LBK2325,5,Friday,No,,,,
JIO5191,5,Friday,No,,,,
WRH7405,5,Friday,No,,,,
DJH6561,5,Friday,No,,,,
FXO9519,5,Friday,No,,,,
QXE5778,5,Friday,No,,,,
DKK9574,5,Friday,No,,,,
VFR7542,5,Friday,No,,,,
IER3095,5,Friday,No,,,,
XRX1355,5,Friday,No,,,,
FCV1556,5,Friday,No,,,,
DHT5029,5,Friday,No,,,,
SLG7593,5,Friday,No,,,,
YJA5254,5,Friday,No,,,,
XTD5537,5,Friday,No,,,,
PPI1758,5,Friday,No,,,,
XUF0595,5,Friday,No,,,,
HIF5589,5,Friday,No,,,,
SAJ4502,5,Friday,No,,,,
EEJ9035,5,Friday,No,,,,
JAZ0571,5,Friday,No,,,,
SVJ7854,5,Friday,No,,,,
HWA5145,5,Friday,No,,,,
UST5959,5,Friday,No,,,,
KIW0574,5,Friday,No,,,,
QVJ8057,5,Friday,No,,,,
ZZE5371,5,Friday,No,,,,
UKP1855,5,Friday,No,,,,
LYR9568,5,Friday,No,,,,
EUC5984,5,Friday,No,,,,
UIB9508,5,Friday,No,,,,
MLR3285,5,Friday,No,,,,
ZKJ0965,5,Friday,No,,,,
AHC5367,5,Friday,No,,,,
MXR5330,5,Friday,No,,,,
LJX6548,5,Friday,No,,,,
VAN2516,5,Friday,No,,,,
GVQ7425,5,Friday,No,,,,
SMM2580,5,Friday,No,,,,
EJP2536,5,Friday,No,,,,
VDG5556,5,Friday,No,,,,
YLT4593,5,Friday,No,,,,
SQG5483,5,Friday,No,,,,
TXN5938,5,Friday,No,,,,
WMJ7351,5,Friday,No,,,,
HOQ1255,5,Friday,No,,,,
NVR6065,5,Friday,No,,,,
CLT5471,5,Friday,No,,,,
XHM3145,5,Friday,No,,,,
WFV7583,5,Friday,No,,,,
QCL4935,5,Friday,No,,,,
PBU5824,5,Friday,No,,,,
CQB5647,5,Friday,No,,,,
ZNC8592,5,Friday,No,,,,
QKH5838,5,Friday,No,,,,
JGR4535,5,Friday,No,,,,
YEN5735,5,Friday,No,,,,
QJA3566,5,Friday,No,,,,
QJE5854,5,Friday,No,,,,
NXB1756,5,Friday,No,,,,
NCH8506,5,Friday,No,,,,
PQF3504,5,Friday,No,,,,
NMW7735,5,Friday,No,,,,
CYQ0259,5,Friday,No,,,,
ASP5998,5,Friday,No,,,,
LGH5580,5,Friday,No,,,,
YKA6532,5,Friday,No,,,,
UZJ5473,5,Friday,No,,,,
CBP2527,5,Friday,No,,,,
WVS5224,5,Friday,No,,,,
TEB5723,5,Friday,No,,,,
QES5100,5,Friday,No,,,,
EUG5832,5,Friday,No,,,,
CIP5576,5,Friday,No,,,,
JQG5348,5,Friday,No,,,,
EAA5154,5,Friday,No,,,,
EFC7458,5,Friday,No,,,,
COD5157,5,Friday,No,,,,
FSZ2675,5,Friday,No,,,,
CED8507,5,Friday,No,,,,
TSE0565,5,Friday,No,,,,
GJK5012,5,Friday,No,,,,
SKX5137,5,Friday,No,,,,
VOM2155,5,Friday,No,,,,
PGG9557,5,Friday,No,,,,
DQS0536,5,Friday,No,,,,
IJX4085,5,Friday,No,,,,
ZSV4653,5,Friday,No,,,,
LKV5684,5,Friday,No,,,,
HNR1549,5,Friday,No,,,,
WCC5121,5,Friday,No,,,,
ABP5495,5,Friday,No,,,,
QJO6301,6,Saturday,No,,,,
JNN7667,6,Saturday,No,,,,
ZJB3566,6,Saturday,No,,,,
BGR6564,6,Saturday,No,,,,
URG6691,6,Saturday,No,,,,
QRT4063,6,Saturday,No,,,,
GDK3867,6,Saturday,No,,,,
LHX2886,6,Saturday,No,,,,
XGD7761,6,Saturday,No,,,,
WIN6603,6,Saturday,No,,,,
ZDD0764,6,Saturday,No,,,,
BCR6076,6,Saturday,No,,,,
TLB4696,6,Saturday,No,,,,
SDG6615,6,Saturday,No,,,,
HNC7605,6,Saturday,No,,,,
VPP9336,6,Saturday,No,,,,
RES8965,6,Saturday,No,,,,
UAO9162,6,Saturday,No,,,,
JKM2496,6,Saturday,No,,,,
UAB0648,6,Saturday,No,,,,
AMS8613,6,Saturday,No,,,,
WYG2673,6,Saturday,No,,,,
ODW4696,6,Saturday,No,,,,
URF6849,6,Saturday,No,,,,
RFH6423,6,Saturday,No,,,,
FTK1036,6,Saturday,No,,,,
NSH6306,6,Saturday,No,,,,
BNK8600,6,Saturday,No,,,,
NPI6181,6,Saturday,No,,,,
AUB4996,6,Saturday,No,,,,
CZP6755,6,Saturday,No,,,,
ZNI6310,6,Saturday,No,,,,
ZEI6260,6,Saturday,No,,,,
IMZ3610,6,Saturday,No,,,,
AZA2463,6,Saturday,No,,,,
WFL1456,6,Saturday,No,,,,
LCT2761,6,Saturday,No,,,,
EQC5610,6,Saturday,No,,,,
MJT9076,6,Saturday,No,,,,
QMU7627,6,Saturday,No,,,,
UEC6061,6,Saturday,No,,,,
YNQ2869,6,Saturday,No,,,,
MTD7956,6,Saturday,No,,,,
IML1560,6,Saturday,No,,,,
XEF0906,6,Saturday,No,,,,
DJT2968,6,Saturday,No,,,,
VQX9396,6,Saturday,No,,,,
AEZ9163,6,Saturday,No,,,,
BYD0706,6,Saturday,No,,,,
CWX8816,6,Saturday,No,,,,
ANL6358,6,Saturday,No,,,,
LBF6626,6,Saturday,No,,,,
TDT6246,6,Saturday,No,,,,
NFG6573,6,Saturday,No,,,,
OPZ0675,6,Saturday,No,,,,
PKR1106,6,Saturday,No,,,,
CPK5260,6,Saturday,No,,,,
DHN6037,6,Saturday,No,,,,
UXM3656,6,Saturday,No,,,,
OBT3652,6,Saturday,No,,,,
MPN6598,6,Saturday,No,,,,
QDX4486,6,Saturday,No,,,,
SHA9363,6,Saturday,No,,,,
AUI6344,6,Saturday,No,,,,
MYP7776,6,Saturday,No,,,,
WCM2336,6,Saturday,No,,,,
TTR1618,6,Saturday,No,,,,
LYU5466,6,Saturday,No,,,,
PVN6458,6,Saturday,No,,,,
ZEW1368,6,Saturday,No,,,,
SPB6268,6,Saturday,No,,,,
OAQ4626,6,Saturday,No,,,,
KSB2367,6,Saturday,No,,,,
TZM9626,6,Saturday,No,,,,
BPO3716,6,Saturday,No,,,,
DSF2625,6,Saturday,No,,,,
JZP3996,6,Saturday,No,,,,
LIS0361,6,Saturday,No,,,,
SML0601,6,Saturday,No,,,,
DAW6706,6,Saturday,No,,,,
DMS6665,6,Saturday,No,,,,
IPR3607,6,Saturday,No,,,,
UEC6402,6,Saturday,No,,,,
WVA5996,6,Saturday,No,,,,
VPH6278,6,Saturday,No,,,,
QFV6171,6,Saturday,No,,,,
RXL6486,6,Saturday,No,,,,
VST6795,6,Saturday,No,,,,
EHR6642,6,Saturday,No,,,,
JYH3546,6,Saturday,No,,,,
UFM1677,6,Saturday,No,,,,
TAS3064,6,Saturday,No,,,,
ZOQ5067,6,Saturday,No,,,,
GHL6586,6,Saturday,No,,,,
MFN1062,6,Saturday,No,,,,
ZNL7126,6,Saturday,No,,,,
JUW4638,6,Saturday,No,,,,
EYD6462,6,Saturday,No,,,,
RBO9636,6,Saturday,No,,,,
JTQ7674,6,Saturday,No,,,,
SML8757,7,Sunday,No,,,,
SRU6579,7,Sunday,No,,,,
CWM5197,7,Sunday,No,,,,
KPK3717,7,Sunday,No,,,,
MAA7876,7,Sunday,No,,,,
MHN7761,7,Sunday,No,,,,
JLU7005,7,Sunday,No,,,,
FKM5732,7,Sunday,No,,,,
GAI8972,7,Sunday,No,,,,
AJA9177,7,Sunday,No,,,,
TDF7828,7,Sunday,No,,,,
KJA8217,7,Sunday,No,,,,
RUK1017,7,Sunday,No,,,,
KYH7775,7,Sunday,No,,,,
ROQ7298,7,Sunday,No,,,,
SEY0770,7,Sunday,No,,,,
NCV1763,7,Sunday,No,,,,
UEK5307,7,Sunday,No,,,,
HXJ6478,7,Sunday,No,,,,
YUH0487,7,Sunday,No,,,,
EEX5794,7,Sunday,No,,,,
EGL4227,7,Sunday,No,,,,
LZZ7857,7,Sunday,No,,,,
KNQ7647,7,Sunday,No,,,,
QCP7909,7,Sunday,No,,,,
VIH3874,7,Sunday,No,,,,
ZBB7503,7,Sunday,No,,,,
PGY2267,7,Sunday,No,,,,
WLR5475,7,Sunday,No,,,,
TRH8079,7,Sunday,No,,,,
YPT9807,7,Sunday,No,,,,
JZY7306,7,Sunday,No,,,,
IKO1179,7,Sunday,No,,,,
NSF8276,7,Sunday,No,,,,
QSQ4727,7,Sunday,No,,,,
VWJ7727,7,Sunday,No,,,,
RJJ3774,7,Sunday,No,,,,
ZFI9870,7,Sunday,No,,,,
RBA7803,7,Sunday,No,,,,
OLP1447,7,Sunday,No,,,,
UOH2107,7,Sunday,No,,,,
VSB4187,7,Sunday,No,,,,
DMO2794,7,Sunday,No,,,,
OPF7658,7,Sunday,No,,,,
IBX0720,7,Sunday,No,,,,
XUG7746,7,Sunday,No,,,,
IPP0207,7,Sunday,No,,,,
ZEL2957,7,Sunday,No,,,,
ZYR6637,7,Sunday,No,,,,
AYK7850,7,Sunday,No,,,,
CEB8786,7,Sunday,No,,,,
RMS7752,7,Sunday,No,,,,
CZH7313,7,Sunday,No,,,,
SSX5367,7,Sunday,No,,,,
LJC1072,7,Sunday,No,,,,
YAP2732,7,Sunday,No,,,,
DUG8718,7,Sunday,No,,,,
HJA4687,7,Sunday,No,,,,
TJH7504,7,Sunday,No,,,,
ZRZ4807,7,Sunday,No,,,,
CJN7488,7,Sunday,No,,,,
ONG4777,7,Sunday,No,,,,
YCY1574,7,Sunday,No,,,,
ALH7704,7,Sunday,No,,,,
HIW4756,7,Sunday,No,,,,
TPN9702,7,Sunday,No,,,,
USQ7806,7,Sunday,No,,,,
NIW3573,7,Sunday,No,,,,
BXI7276,7,Sunday,No,,,,
JFC5571,7,Sunday,No,,,,
ZTQ7076,7,Sunday,No,,,,
YZE7447,7,Sunday,No,,,,
SVR5287,7,Sunday,No,,,,
YPJ2768,7,Sunday,No,,,,
LHP0217,7,Sunday,No,,,,
TGO7057,7,Sunday,No,,,,
QHR0173,7,Sunday,No,,,,
JPN5957,7,Sunday,No,,,,
NIP7984,7,Sunday,No,,,,
HEL6706,7,Sunday,No,,,,
YGK4373,7,Sunday,No,,,,
XXF7174,7,Sunday,No,,,,
CVO1373,7,Sunday,No,,,,
PGG2777,7,Sunday,No,,,,
LTS4787,7,Sunday,No,,,,
VOG8475,7,Sunday,No,,,,
AMO8777,7,Sunday,No,,,,
LJD9887,7,Sunday,No,,,,
XKE2074,7,Sunday,No,,,,
UKP0075,7,Sunday,No,,,,
MTY6679,7,Sunday,No,,,,
JJX3887,7,Sunday,No,,,,
CDZ3724,7,Sunday,No,,,,
WFD8587,7,Sunday,No,,,,
XEG7397,7,Sunday,No,,,,
DWQ2187,7,Sunday,No,,,,
QRV5792,7,Sunday,No,,,,
SKU8467,7,Sunday,No,,,,
CMD3076,7,Sunday,No,,,,
LSJ2670,7,Sunday,No,,,,
